"single_kw","count"
"acoustic tracking",1
"acoustic transmitters",1
"acoustics",1
"acridid",4
"acrididae",43
"acrididea",35
"acridoidea",35
"acropora",4
"acropora retusa",1
"acroporidae",1
"acrotelm",1
"actinorhizal plants",3
"active channel width",1
"active layer",31
"active layer detachment",1
"activity",1
"acton lake ltreb",1
"adams county",1
"adaptation",9
"adapting to city life",41
"adaptive management",2
"adaptive management areas (ama's)",1
"adaptive management areas (ama)",1
"adelges tsugae",1
"adirondack",1
"adirondack ecological center",7
"adirondack lakes survey",1
"adirondacks",3
"administration",3
"adnate abundance",1
"adnate biovolume",1
"adsorption",3
"adults",1
"advection",5
"aec",4
"aegaca",1
"aegolius acadicus",1
"aeolian",7
"aeolian (wind related)",8
"aeolian processes",2
"aerial",16
"aerial compliance",1
"aerial imagery",11
"aerial photograph",4
"aerial photographs",13
"aerial photography",3
"aerial photos",13
"afdm",4
"afforestation",1
"agalinis maritima",1
"agarophyton vermiculophyllum",1
"agastache foeniculum",6
"age",6
"age and sex class",1
"age composition",3
"age groups",3
"age structure",5
"agelaius phoeniceus",1
"ageneotettix deorum",1
"agepho",1
"aggrading forest",6
"aggregate stability",1
"aggregates",1
"aggregation",1
"aggressive behavior",1
"aglaophenia",1
"agressive behavior",1
"agri environment scheme",1
"agricultural lands",1
"agriculture",49
"agrilus planipennis",1
"agroecology",3
"agroecosystems",1
"agronomic",1
"agronomic herbicide",1
"agronomic log",1
"agronomic log agronomy",1
"agronomy",2
"agronomy log aglog",1
"agrop8ron repens",1
"agropisciculture",1
"agropyron repens",32
"agropyron smithii",6
"agropyron smithii (as)",1
"agrostis alba",13
"agrostis scabera",1
"agrostis scabra",31
"agrostis scara",1
"agrostis sp.",6
"agrpyron repens",1
"aguirre",1
"aichilik river",1
"air",24
"air conditioning",1
"air humidity",2
"air photographs",1
"air photos",16
"air pollution",14
"air pressure",23
"air quality",15
"air relative humidity",1
"air temperature",491
"airborne observation platform",1
"airfields",1
"airphoto",1
"airshed",1
"aix sponsa",1
"aixspo",1
"aizoaceae",2
"akaike information criterion",1
"al",4
"alaska",66
"alaska range",1
"alaskan style weir",1
"albedo",26
"albion",7
"albion camp",6
"alder",21
"alder flycatcher",1
"ale",1
"alegria",3
"alewife",1
"alfisol",1
"alfl",1
"algae",126
"algal abundance",1
"algal bloom",1
"algal energetics",1
"algal pigments",1
"algal toxins",1
"algal turf",1
"algal turfs",3
"alismataceae",3
"alismatales",3
"alive",1
"alk",1
"alkaline phosphatase",1
"alkalinity",70
"all soil bacteria",1
"alleles",3
"allen’s hummingbird",1
"allequash lake",1
"alliesthesia",1
"alligator mississippiensis",1
"alligatoridae",1
"allium sp.",2
"allium stellatum",3
"allochthonous",1
"allochthonous inputs",1
"allochthony",1
"allometric",1
"allometry",17
"alloniscus",1
"alluvium",1
"alnus",3
"alnus crispa",3
"alnus rugosa",1
"alnus tenuifolia",1
"alnus viridis",20
"alpha",2
"alpine",134
"alpine buttercup",2
"alpine couloir",1
"alpine couloirs",1
"alpine geoecology",1
"alpine lake",1
"alpine plant species",1
"alpine soil",2
"alpine tundra",4
"alpine tundra vegetation",1
"als",1
"altamaha river",16
"altamaha sound",4
"altemp",5
"altered snow regime",3
"alternate stable state",1
"alternative states",1
"altingiaceae",3
"altitude",6
"aluminum",50
"aluminum hydroxides",1
"amaranthaceae",18
"amax",2
"amazon",1
"ambient conditions",1
"ambrosia",1
"ambrosia artdmisifolia elatior",1
"ambrosia artemisifolia elatior",5
"ambrosia artemisiifolia elatio",12
"ambrosia artemisiifolia elatior",26
"ambrosia artemsiifolia elatior",1
"ambrosia coronopifoia",1
"ambrosia coronopifolia",16
"ambrosia deltoidea",1
"ambur",1
"ambush predator",1
"ambystoma",1
"amcr",1
"amelanchier",1
"amelanchier sp.",1
"american alligator",2
"american beech",4
"american black nightshade",1
"american community survey",1
"american crow",1
"american goldfinch",1
"american pika",2
"american redstart",1
"american residential macrosystems",4
"american robin",2
"american shad",2
"american toad",1
"american tree sparrow",1
"ameriflux",6
"amf",1
"amgo",1
"amino acid",1
"amino acid cycling",7
"amino acids",17
"amk ranch",1
"ammodramus savannarum",5
"ammonia",55
"ammonia oxidising archaea",1
"ammonia oxidizing archaea",2
"ammonification",2
"ammonim",1
"ammonium",253
"ammonium oxalate",1
"ammophila arenaria",1
"ammophila breviligulata",5
"amoa",1
"amorpha canascens",1
"amorpha canescens",15
"ampelopsis arborea",1
"ampelopsis brevipedunculata",1
"amphibia",1
"amphibians",24
"amphicarpa bracteata",7
"amphicarpaea bracteata",1
"amphipod",5
"amphipoda",1
"amphipods",3
"amphiprion chrysopterus",1
"amphivi",1
"amre",1
"amro",1
"amynthas",1
"anacapa island",4
"anaerobic",1
"anagsp",1
"anaktuvuk",1
"anaktuvuk river",8
"anaktuvuk river fire",13
"analysis",25
"analytical data",1
"analytical tool",3
"analytical tools",3
"anapla",1
"anas platyrhynchos",1
"anatinae (gen",1
"anatoxin",1
"anc",5
"and",2
"and atmosphere",135
"and atmosphere""",1
"and human outcomes",43
"and micronutrients",4
"and potassium",1
"and protected lands",1
"and renewal pruning",1
"and
        hyphal coils",1
"andersen creek",1
"andover",3
"andropogon gerardi",32
"andropogon gerardi(ag)",1
"andropogon gerardii",1
"andropogon scoparius",11
"anecdata.org",1
"anemochory",2
"anemone cylindrica",23
"anemone patens",1
"anemone quinquefolia",1
"anenome americana",1
"anenome cylindrica",1
"angiosperm",1
"angiospermae",102
"angler",1
"angler survey",1
"angun lagoon",1
"angun river",1
"anhydrobiosis",9
"animal",13
"animal behavior",1
"animal body fat",1
"animal ecology",4
"animal habitat modeling",1
"animal movements",1
"animal species composition",3
"animal tracks",1
"animal unit month",1
"animalia",166
"animals",87
"anion",1
"anion exchange",1
"anion sum",16
"anions",39
"anisocladella pacifica",1
"anisohydry",1
"anisoptera",2
"ann arbor",1
"anna's hummingbird",1
"anne arundel county",15
"annelida polychaetea",2
"annelids",1
"annotations",1
"annual",13
"annual plants",5
"annual winter ice cover",1
"annually",6
"anoxia",3
"anoxic",1
"anoxic microsites",1
"anpp",15
"ant",1
"ant nests",4
"antarctic desert streams",13
"antarctica",123
"antennaria neglecta",19
"antennaria plantaginifolia",4
"antennaria sp.",3
"anthracene",1
"anthropocene",1
"anthropology",4
"antibiotics",1
"antillean z fish trap deployment",1
"antimony",3
"ants",34
"anuran",1
"aon",48
"aphaenogaster",1
"aphaenogaster ants",1
"aphid",4
"aphids",1
"apiaceae",4
"apiales",4
"apocynaceae",3
"apocynum androsaemifolium",4
"apocynum cannabinum",3
"apocynum sp.",3
"appalachia",1
"appalachian (usa) streams",1
"apparent quantum yield",2
"appendicularia",2
"aquatic",24
"aquatic animals behavior",1
"aquatic biology and inland fishes lab",1
"aquatic decomposition",2
"aquatic eco dynamics",1
"aquatic ecology",8
"aquatic ecosystem",2
"aquatic ecosystems",206
"aquatic ecosystems lab",1
"aquatic eddy covariance",1
"aquatic eddy covariance fluxes",1
"aquatic environments",4
"aquatic invertebrate ecology",2
"aquatic invertebrate monitoring",37
"aquatic invertebrates",35
"aquatic macroflora",18
"aquatic macroinvertebrate",1
"aquatic macroinvertebrates",1
"aquatic macrophytes",1
"aquatic organisms",4
"aquatic plant",12
"aquatic plants",3
"aquatic stewardship",1
"aquifer",3
"aquilegia canadensis",1
"ara",2
"arabis",3
"arabis divaricarpa",16
"arabis glabra",6
"arabis hirsuta",3
"arabis sp.",8
"araceae",2
"aragonite saturation state",2
"aralia nudicaulis",1
"araliaceae",2
"arapaho and roosevelt national forests",6
"arapahoe county",1
"arb",1
"arbuscular mycorrhizae",1
"arbuscular mycorrhizal (am) fungi",1
"arbuscular mycorrhizal fungi",11
"arbuscules",2
"arc",4
"arc gis",1
"arc lter",13
"arccol",1
"archaea",8
"archaeological survey",2
"archaeology",3
"archaeopulmonata",59
"archbold biological station",18
"archilochus colubris",1
"archives",2
"archiving",1
"arcss tk",4
"arctic",40
"arctic grayling",7
"arctic lakes",34
"arctic lter",15
"arctic rivers",2
"arctic soils",7
"arctic streams",23
"arctic tundra",14
"ardea herodias",1
"ardher",1
"area",10
"area of mesoscale habitat type",1
"arecaceae",2
"arecales",2
"arenaria lateriflora",4
"argentina",3
"arginine",1
"arid",2
"arid ecosystem",1
"arid grasslands",4
"arid land",266
"arid land stream",1
"aridity",3
"aridity index",1
"aridland stream",1
"arik",1
"arikaree",5
"arikaree cirque",1
"arikaree glacier",8
"aristida basiramea",25
"aristida sp.",8
"aristida spp.",3
"aristida tuberculosa",3
"arizona",280
"arm",13
"armases",26
"armases cinereum",32
"army corps of engineers",1
"aromatic carbon",1
"aromaticity",1
"arphia conspersa",1
"arphia conspersa (ac)",1
"arphia pseudoniatana",1
"arphia simplex",1
"arq",2
"arroyo burro",11
"arroyo burro beach",4
"arroyo burro creek",1
"arroyo burro reef",9
"arroyo hondo",9
"arroyo hondo reef",4
"arroyo quemado",14
"arroyo quemado beach",3
"arroyo quemado reef",27
"arsenic",3
"artemesia (caudata) campestris",1
"artemesia ludoviciana",1
"artemisia (caudata) campestris",11
"artemisia caudata",4
"artemisia ludoviciana",16
"artemisia sp.",1
"arthropoda",91
"arthropods",92
"articulated corallines",2
"artifical coverbaord",1
"artificial communities",5
"artificial habitat",1
"artificial intelligence",1
"artificial light at night",1
"arundinaria tecta",1
"as",2
"asarum canadensis",1
"asclepias incarnata",4
"asclepias ovalifolia",10
"asclepias sp.",4
"asclepias spp.",4
"asclepias syriaca",27
"asclepias syrioca",1
"asclepias tuberosa",18
"asclepias verticillata",6
"ascomycetes",5
"ascomycota",1
"ascospores",4
"aseptate fungi",1
"ash",1
"ash free dry mass",3
"ash weight",5
"asheville",2
"asiatic bittersweet",1
"asparagus officinalis",1
"aspect",7
"aspen",30
"aspen leaves",1
"aspen stand",1
"asphalt",2
"aspirated",1
"aspire lab",1
"assateague island",1
"assays",1
"assessor's parcel data",1
"assiminea",4
"assiminea succinea",4
"assimineidae",4
"aster",5
"aster azureus",21
"aster ericoides",4
"aster junciformis",1
"aster novae angliae",1
"aster ptarmicoides",1
"aster simplex",2
"aster sp.",5
"aster umbellatus",1
"asteraceae",21
"asterales",21
"asteranae",24
"asthma",2
"astragalus canadensis",7
"at07",1
"athens",1
"athens clarke county",3
"atigun river",1
"atlanta",1
"atlantic rainforest",1
"atlantic sea scallop",2
"atlantic silverside",1
"atmopheric deposition",1
"atmosphere",37
"atmosphere (earth)",1
"atmospheric deposition",32
"atmospheric inputs",1
"atmospheric nitrogen deposition",1
"atmospheric ozone",1
"atmospheric pollution",1
"atmospheric pressure",47
"atmospheric pressure measurements",1
"atmospheric processes",10
"atmospheric properties",16
"atmospheric sulfur deposition",1
"atriplex patula",2
"atsp",1
"attached benthic algae",1
"attenuation transmission",51
"attitudes",1
"attitudes and perceptions",4
"attitudes perceptions",2
"auchenorrhyncha",5
"auction mechanisms",2
"august",7
"aum",1
"aurelia",1
"automated image recognition",2
"autonomous",1
"autotrophic",1
"autumn",3
"auv",1
"available light",1
"available nutrients",1
"avak creek",7
"average",2
"averages",1
"aves",5
"avian",7
"avian community",1
"avian ecology",1
"avicennia",2
"avicennia germinans",5
"avifauna",6
"avifuana",1
"avila",1
"aviris",1
"awd lwd",1
"az",269
"azolla",1
"b",4
"b1",5
"b4warmed",1
"baccharis halimifolia",8
"backreef",7
"bacteria",106
"bacteria abundance",2
"bacterial abundance",23
"bacterial communities",1
"bacterial feeding",1
"bacterioplankton",1
"bado",1
"bait",1
"baja california",1
"balanidae",19
"balanoidea",19
"balanomorpha",19
"balanus",10
"balanus amphitrite",19
"balanus eburneus",19
"balanus trigonus",19
"baldcypress",1
"bali hai",1
"balistapus undulatus",1
"ball creek",2
"ball creek watershed",1
"ballots",1
"balsam fir",1
"balsam poplar",6
"baltimore",104
"baltimore city",15
"baltimore county",35
"baltimore ecosystem study",45
"baltimore oriole",1
"baltimore washington",33
"bank erosion",1
"bank height",1
"bankfull channel width",1
"bankfull width",2
"baptisia leucantha",2
"barberry",1
"barc",1
"barco",1
"bare ground",12
"barium",2
"bark",10
"barltley stream flume",1
"barn swallow",1
"barnacle",11
"baroclinicity",1
"barometric pressure",30
"baronranch262",1
"barred owl",1
"barrier",1
"barrier island",5
"barrier islands",20
"barrier3d",1
"barro colorado island",18
"barter island",9
"bartlett experimental forest",10
"bartlett experimental
      forest",1
"baruch institute",18
"basal area",23
"basal consumers",2
"basal stem diameter",1
"base cation depletion",2
"base cations",3
"base flood elevation",1
"base saturation",4
"baseflow",1
"baseline",1
"basidiomycetes",4
"basin",3
"basins",16
"basisofrecord  humanobservation",142
"bataceae",15
"bathymetry",36
"batis",3
"batis maritima",19
"batrachochytrium dendrobatidis",1
"baww",1
"bay",1
"bayesian",1
"bays",1
"bbwm",8
"bc02",1
"bcch",1
"bcef",15
"bci clearing station",1
"bdh",1
"beach",11
"beach hopper",3
"beach infauna",1
"beach invertebrates",1
"beach seine",3
"beaches",11
"beachgrass",1
"beaded creek",1
"bear br",2
"bear brook",4
"bear brook watershed",2
"bear brook watershed in maine",4
"bear brook watershed maine",3
"bear brook watershed me",1
"bear brook watersheds in maine",1
"bear meadow brook",19
"beaufort lagoon ecosystems lter",21
"beaufort sea",10
"beaufort weather scale",1
"beaverdam reservoir",15
"bed load",1
"bed sediment",1
"bedding",1
"bedload",2
"bedrock",2
"bee colony behavior",1
"bee colony growth",1
"bee hive co2 concentration",1
"bee hive internal temperature",1
"bee hive weight",1
"beef cattle",1
"beef retailers",1
"bees",1
"beet armyworm",1
"beetles",15
"beetree watershed",1
"bef",1
"behavior",3
"behavioral changes",1
"behavioral plasticity",1
"behavioral syndrome",1
"behaviorally mediated trophic cascades",1
"beki",1
"belize",3
"below ground total carbon",2
"below ground total nitrogen",2
"below ground total phosphorus",2
"belowground",2
"belowground biomass",17
"belowground npp",1
"belowground plot experiment",12
"belowground plots",6
"belowground temperature",1
"belted kingfisher",1
"bemp",2
"ben gurion university of the negrev",3
"benchmark",1
"benefit",1
"benomyl treatment",1
"bent creek experimental forest",3
"benthic",34
"benthic algae",4
"benthic chlorophyl",1
"benthic chlorophyll",3
"benthic cover",1
"benthic environments",5
"benthic habitat",1
"benthic macrofauna",1
"benthic macroinvertebrates",8
"benthic matter",1
"benthic metabolism",1
"benthic microalgae",1
"benthic respiration",1
"benthic standing crop",1
"bentho torch",1
"benthos",23
"benz(a)anthracene",1
"benzo (k+b) fluoranthene",1
"benzo(a)pyrene",1
"benzo(e)pyrene",1
"benzo(ghi)perylene",1
"benzo(j)fluoranthene",1
"berkeley",1
"bernard creek",1
"berry fire",1
"berteroa incana",27
"bertholletia excelsa",1
"bes",60
"bes lter",2
"best practice",1
"beta distribution",1
"beta diversity",3
"betasso preserve",2
"bethic algae",1
"betula alleghaniensis",3
"betula neoalaskana",14
"betula papyrifera",12
"beverly",3
"bhco",1
"bhvi",1
"biannually",5
"bias",1
"bibliography",1
"bicarbonate",21
"bicarbonite reactive silica",2
"big bluestem",3
"big muskellunge lake",1
"bigc",1
"bilateria",166
"billerica",3
"bimonthly",1
"bio physical coupling",10
"bioaccumulation",1
"bioacoustics",1
"bioavailability",1
"bioavailable don",2
"biocarbonate",1
"biochemical oxygen demand",1
"bioclimatic predictors",1
"biodegradability",2
"biodegradation",1
"biodiversity",541
"biodiversity and ecosystem functioning",1
"biodiversity change",1
"biodiversity conservation",1
"biodiversity ecosystem function",1
"biodiversity hotspot",1
"biodiversity loss",1
"biodiversity species diversity t7 t1 t2 t3 t4 t5 t6 t8",1
"bioenergetics",2
"bioenergy",1
"bioenergy crop",1
"biofilm",2
"biofilms",1
"biofuel",1
"biofuel frost energy",1
"biogenic deposits",1
"biogenic silica",4
"biogeochemical",2
"biogeochemical cycling",5
"biogeochemical fluxes",1
"biogeochemical patterns",43
"biogeochemical processes",23
"biogeochemistry",283
"biogeochemistry controls",2
"biogeography",22
"biogeophysics",1
"bioirrigation",1
"biolability",2
"biological",2
"biological (all)",48
"biological all",3
"biological carbon pump",1
"biological data",1
"biological events",2
"biological index",1
"biological invasion",2
"biological invasions",1
"biological processes",36
"biological soil crust",1
"biological soil crusts",2
"biological substances",12
"biological survey",1
"biological systems engineering",1
"biological trade offs",1
"biology",50
"biomagnification",1
"biomass",457
"biomass (conifers)",1
"biomass (lichens)",1
"biomass (trees)",2
"biomass (vascular plants)",1
"biomass concentration",3
"biomass dynamics",2
"biomass nitrogen fertilizer yields",1
"biomass transfer",1
"biomat",1
"biomes",1
"biometeorology",3
"biometrics",1
"biomonitoring",1
"biophysics",1
"biosphere reserve",1
"biostabilization",1
"biota",141
"biotic",2
"biotic controls",1
"biotic crusts",1
"biotic effects",6
"biotic interaction",1
"biotic interactions",3
"biotic sinks",1
"bioturbation",1
"biovariables",1
"biovolume",5
"biovolume concentration",3
"bird",13
"bird defecation",1
"bird diversity",1
"birds",136
"birdwatching",1
"bisley gaps",1
"bisley watersheds",2
"bison",3
"bison herd",1
"bisque",1
"bistorta",4
"bistorta (polygonum)",1
"bistorta (polygonum) bistortoides",2
"bistorta (polygonum) vivipara",2
"bivalves",11
"bivalvia",65
"biweekly",8
"black and white warbler",1
"black capped chickadee",1
"black carbon",1
"black chinned hummingbird",1
"black grama",7
"black grama grassland",1
"black hammock island",1
"black ice",1
"black oak",1
"black rock forest",2
"black sand",9
"black sand experiment",1
"black spruce",61
"black tailed gnatcatcher",1
"black tailed jackrabbit",1
"black throated blue warbler",3
"black throated green warbler",1
"black warrior river",1
"black widow spider",1
"blackbeard creek",4
"blackbird",1
"blackburnian warbler",1
"blackpoll warbler",1
"blacksburg va",1
"blaptica dubia",1
"blarina",1
"blarina brevicauda",2
"blbw",1
"blde",1
"ble",21
"ble lter core program",11
"blja",1
"block 1",6
"block 10",7
"block 11",7
"block 12",6
"block 13",7
"block 14",7
"block 15",7
"block 2",7
"block 3",7
"block 4",7
"block 5",7
"block 6",7
"block 7",7
"block 8",7
"block 9",7
"blockgroups",1
"blocks",2
"blood",3
"blood radiation effects",2
"bloom",1
"blooms",1
"blpw",1
"blue",1
"blue carbon",3
"blue crab",1
"blue grama",4
"blue grama grassland",1
"blue green algae",1
"blue green algae phycocyanin",1
"blue headed vireo",1
"blue ice",2
"blue jay",1
"blue mussels",1
"blue ridge",2
"blue ridge mountains",1
"blue ridge province",1
"blueback herring",1
"blwa",2
"bnz",2
"boat ramps",1
"boat traffic",1
"boch",1
"body composition",1
"body condition",1
"body length",1
"body mass",1
"body size",3
"body wash",1
"bog",3
"bog lake",2
"bogs",57
"bois des bel peatland",1
"bolboschoenus robustus",61
"bole wood",1
"boles",1
"bom",1
"bomb cyclone",3
"bombycilla cedrorum",1
"bomced",1
"bonanza creek experimental forest",12
"bonasa umbellus",2
"bone marrow radiation effects",2
"bongo net",2
"bonumb",1
"boreal",1
"boreal chickadee",1
"boreal forest",1
"boreal forests",50
"boreal lakes",1
"borehole",2
"boron",4
"borrichia",7
"borrichia frutescens",22
"bosque",2
"bosque ecosystem monitoring program",1
"bossiella orbigniana",2
"boston",2
"botany",3
"botrichium sp.",2
"botryocladia pseudodichotoma",1
"bottom up",2
"bottomland hardwood",1
"boulder",39
"boulder co co fsa",1
"boulder county",22
"boulder creek",6
"boulder watershed",1
"boulders",1
"boundaries",38
"boundary",33
"boundary layer",1
"bouteloua curtipendula",8
"bouteloua eriopoda",1
"bouteloua gracilis",11
"bouteloua gracilis (bg)",1
"bouteloua hirsuta",11
"bouteloua sp.",1
"box core",2
"boxford",3
"bracan",1
"brachyura",33
"brackish",1
"brackish marsh",5
"brackish water",8
"brainard lakes",1
"branch mass",1
"branch xylem water",1
"branching",1
"branching corals",1
"branta canadensis",1
"brassicales",15
"braun blanquet",8
"brazilian savanna",1
"brcr",1
"breakdown",1
"breakdown rates",1
"breast height",1
"breeding",4
"breeding bird survey",1
"breeding birds",5
"bridge",6
"bridger teton national forest",1
"brittlebush",1
"broad tailed hummingbird",1
"broad winged hawk",1
"brome",1
"bromide",2
"bromus inermis",11
"bromus sp.",5
"brood parasitism",1
"brook trout",1
"brooks range",5
"broomfield county",1
"brown algae",2
"brown creeper",1
"brown food webs",2
"brown headed cowbird",2
"brownfield",1
"browning",2
"browsing",30
"brsi",2
"bruchids",1
"bryophytes",13
"bryozoans",2
"bsi",1
"bsne",4
"btbw",1
"btgn",1
"btnw",1
"buchloe dactyloides",10
"buchloe dactyloides (bd)",1
"buck island ranch",3
"bud",2
"bud break",1
"bud burst",4
"buds",1
"buenos aires",1
"buffalo",1
"buffer width",1
"buffers",1
"bufo americanus",1
"building density",3
"buildings",18
"bulk density",37
"bulk deposition",4
"bulk depositionn",1
"bulk nitrogen deposition",1
"bulkhead",1
"bull shark",4
"bullito",10
"bullito reef",3
"bullock's oriole",1
"bummer's gulch",2
"buncombe county",3
"buoy",8
"buoy data",5
"burbot",1
"burial",2
"burial rates",1
"buried bag",1
"burke",1
"burlington",3
"burn",5
"burn severity",17
"burned",1
"burning",85
"burns",38
"burrowing organisms",1
"burrows",1
"business",1
"buteo platypterus",1
"butplt",1
"butterflies",3
"butternut key",1
"butternut key weather tower",1
"bwha",1
"byfield",9
"c",11
"c 1 meteorological station",1
"c 111 basin",2
"c cali",31
"c grav",28
"c man weather station",1
"c n",1
"c n ratio",4
"c sand",28
"c term",3
"c1",13
"c1 snotel",1
"c13",2
"c14",1
"c3 and c4 plant",1
"ca",13
"cable gate",1
"cabon assimilation",1
"cache protection",1
"cache slough",1
"caco3",1
"cactaceae",1
"cacti",1
"cactus",1
"cadastral data",1
"cadaver fauna",1
"cadcan",1
"caddisflies",1
"cadmium",7
"caelifera",35
"caffeine",1
"cages",1
"cal poly",1
"calamagrostis",1
"calamagrostis canadensis",5
"calamagrostis inexpansa",1
"calamovilfa longifolia",12
"calamovilfa sp.",3
"calanoid",2
"calanoids",1
"calcification",2
"calcium",156
"calcium amendment",3
"calcium amendments",1
"calcium carbonate",2
"calf weight gain",1
"calhoun line",1
"calibration",1
"california",10
"california current",4
"california current ecosystem",1
"california data exchange center",2
"california department of fish and wildlife",5
"california department of water resources",10
"california spiny lobster",2
"california state university northridge",93
"caliochory",1
"calliope hummingbird",1
"callipepla gambelii",1
"callophyllis flabellulata",3
"calorie",1
"cambria",1
"camera",2
"camera trap",1
"camera trapping",2
"campanula rotundifolia",8
"campbell data logger",1
"canada",1
"canada goose",1
"canada warbler",1
"canal",10
"canals",3
"cang",1
"canidae",1
"canker",2
"cannibalism",1
"canning river",3
"canopies",39
"canopy",16
"canopy and surface fuels",1
"canopy area",1
"canopy communities",1
"canopy cover",53
"canopy coverage",4
"canopy gaps",13
"canopy height",1
"canopy herbivores",3
"canopy herbivory",5
"canopy nitrogen uptake",1
"canopy opening",2
"canopy overhang height",1
"canopy structural complexity",1
"canopy structure",2
"canopy temperature",4
"canopy traits",1
"canopy trimming experiment",2
"canopy trimming experiment (cte)",1
"cap",266
"cap lter",135
"cape sable",1
"capitula",3
"caplter",266
"caplter core monitoring",9
"caplter created",131
"caprellid",2
"capture",1
"capture methods",1
"car",1
"carapace length",1
"carapace size",1
"carapace width",1
"carbamazepine",1
"carbohydrate",1
"carbohydrates",15
"carbon",530
"carbon 13",8
"carbon accumulation",1
"carbon addition",1
"carbon analysis",1
"carbon assimilation",27
"carbon balance",2
"carbon biodiversity co benefits",1
"carbon burial",1
"carbon content",1
"carbon cycle",1
"carbon cycling",79
"carbon dioxide",180
"carbon dioxide concentration",3
"carbon dioxide evolution",1
"carbon dioxide flux",1
"carbon dynamics",5
"carbon export",1
"carbon fertilization",1
"carbon flux",33
"carbon fluxes",119
"carbon fluxesv",1
"carbon gain",1
"carbon isotopes",4
"carbon isotopic fractionation",1
"carbon limitation",1
"carbon mineralization",1
"carbon monoxide",2
"carbon nitrogen agriculture carbon to nitrogen ratio nitrogen content",1
"carbon nitrogen interactions",4
"carbon nitrogen ratio",4
"carbon phosphorus interactions",4
"carbon phosphorus ratio",1
"carbon pools",1
"carbon sequestration",4
"carbon stable isotope",2
"carbon stable isotopes",1
"carbon stocks",1
"carbon to nitrogen ratio",38
"carbon to phosphorus ratio",1
"carbon uptake",1
"carbonate",2
"carbonate chemistry",9
"carbonate rocks",34
"carboxylation",2
"carboxylic acids",2
"carcass quality",1
"carcinus maenas",1
"cardellina canadensis",1
"cardisoma",1
"carex",1
"carex bebbii",1
"carex lupulina",2
"carex muhlenbergii",5
"carex rupestris",1
"carex scoparia",1
"carex sp.",28
"carex stricta",2
"carey lab",31
"cari",1
"caribbean",24
"caribou",2
"caribou peak",1
"caribou poker creeks research watershed (cpcrw)",22
"carnivore",2
"carnivorous plants",21
"carolina",1
"carotenoid pigmentation",1
"carpenteria reef",4
"carpinteria",14
"carpinteria city beach",1
"carpinteria reef",23
"carpinteria208",1
"carpinus caroliniana",2
"carrion insects",1
"carroll county",15
"cart cr",10
"cart creek",23
"cartography",27
"carvins cove reservoir",8
"caryophyllaceae",1
