"packageid","title","keywords","abstract"
"edi.1124","Hydrodynamic modeling data for Synthesis of Juvenile Steelhead Responses to Hydrodynamic Conditions in the Sacramento-San Joaquin Delta","steelhead,Sacramento - San Joaquin Delta,California,modeling,water quality","
    This data release includes the output variables extracted from the
    UnTRIM Bay-Delta hydrodynamic model (hydrodynamic model) for use in
    evaluating the effects of hydrodynamics on the behavior of
    acoustically-tagged juvenile steelhead in the Sacramento-San Joaquin
    Delta. Work was funded by Proposition 1 and completed by Anchor QEA,
    LLC, and U.S. Geological Survey for the State Water Contractors
    under a Proposition 1 Grant (Evaluating Juvenile Salmonid
    Behavioral Responses to Hydrodynamic Conditions in the
    Sacramento-San Joaquin Delta), contracted by Delta
    Stewardship Council. Not all the hydrodynamic model output variables
    in the output provided with this memorandum were used in the final
    fish models used to analyze steelhead responses. Model output for
    additional variables and locations were included for completeness
    and to make these output files more broadly useful to researchers
    interested in other locations or variables in the Sacramento-San
    Joaquin Delta. Hydrodynamic model simulations were conducted for
    2011, 2012, 2013, 2014, 2015, and 2016, with hydrodynamic model
    output variables provided at the same locations for each period
    simulated. The model simulation for each year spanned the full
    period of steelhead detections in the telemetry data collected
    during that year.
  "
"edi.1133","Dietary protein and sodium co-limit cockroach growth and reproduction, 2019-2020","macroinvertebrates,sodium,protein,relative growth rate,Blaptica dubia","The dataset contains information on a feeding study done on the cockroach species Blaptica dubia. Cockroaches were assigned to a combination of treatments that contained two levels of protein (low 21% or high 27%) and three levels of sodium (low 0.06%, medium 0.15%, or high 0.3%). Cockroaches were reared until reaching maturity, growth measurements were taken every 14 days. Individuals from the same treatment were then paired to reproduce their first clutch of offspring."
"edi.1149","Data for Avolio et al. Making sense of multivariate community responses in global change experiments","Centroids, data synthesis, dispersion, dissimilarity metrics, rank abundance curves, richness","Ecological communities are being impacted by global change worldwide. Experiments are a powerful tool to understand how global change will impact communities by comparing control and treatment replicates. Communities consist of multiple species and their associated abundances making multivariate methods a powerful approach to studying community compositional differences between control and treated replicates. Dissimilarity metrics are a commonly employed multivariate measure of compositional differences; however, while highly informative, dissimilarity metrics do not elucidate the specific ways in which communities differ. Integrating two multivariate methods, dissimilarity metrics and rank abundance curves has the potential to detect complex differences based on dissimilarity metrics and detail the how these differences came about through differences in richness, evenness, species ranks, or species identity. Here we use a database of 106 global change experiments located in herbaceous ecosystems and explore how patterns of ordinations based on dissimilarity metrics relate to rank abundance-curve based differences. We find that combining dissimilarity metrics alongside rank abundance curve-based measures clarify how global change treatments are altering communities. We find that when there is no difference in community composition (no distance between centroids of control and treated replicates), there are rarely differences in species ranks or species identities and more often differences in richness or evenness alone. In contrast, when there are differences between centroids of control and treated replicates, this is most often associated with differences in ranks either alone or co-occurring with differences in richness, evenness, or species identities. We suggest that integrating these two multivariate measures of community composition results in a deeper understanding of how global change impacts communities."
"edi.1156","Journey North - Oriole observations by volunteer community scientists across Central and North America (1997-2020)","oriole,Baltimore Oriole,Bullock's Oriole,citizen science,participatory science,wildlife migration,North America,Central America,Orchard Oriole,Hooded Oriole,Scott's Oriole,phenology,birds","This data package contains oriole migration data consisting of 14,476 total observational reports from 1997 - 2020 across North and Central America. These data were collected by 7,331 community scientists for Journey North, a crowdsourced participatory science program of the University of Wisconsin-Madison Arboretum. The Journey North Oriole Project is an ongoing study of oriole phenology conducted at broad spatial and temporal scales. Since 1997, community scientists have tracked first arrival dates and breeding and feeding behavior as well as the onset of fall migration and presence of oriole species throughout the winter months in the United States. Focal species are the Baltimore Oriole (Icterus galbula), Bullock’s Oriole (Icterus bullockii), and Orchard Oriole (Icterus spurius fuertesi). Observers also provide estimates of the number of birds sighted. However, observers do not follow standardized methods for counting species observed. Observers do not observe at set times of the day, do not repeat observations regularly, and are not required to provide the length of time during which a specified number of species observed were counted. Therefore, it is recommended that this dataset be analyzed to indicate presence not abundance. Researchers are encouraged to read the rich information provided by volunteers in their comments. These comments provide qualitative information about observational reports. Researchers are also encouraged to refer to submitted photographs that also provide context for observational reports. The Journey North Oriole Project dataset is hosted by the University of Wisconsin-Madison Shared Web Hosting Service."
"edi.1160","International Soil Carbon Network version 3 Database (ISCN3)","geolocated soil observations,profiles,soil characterization,carbon stocks,organic matter","The ISCN is an international scientific community devoted to the
advancement of soil carbon research. The ISCN manages an open-access,
community-driven soil carbon database. This is version 3-1 of the ISCN
Database, released in December 2015. It gathers 38 separate data set
contributions, totaling 67,112 sites with data from 71,198 soil profiles
and 431,324 soil layers. For more information about the ISCN, its
scientific community and resources, data policies and partner networks
visit: http://iscn.fluxdata.org/. For information about processes used
to construct the DB: https://iscn.fluxdata.org/data/data-information/."
"edi.1168","Journey North - Red-winged blackbird observations by volunteer community scientists across Central and North America (1999-2020)","participatory science,citizen science,wildlife migration,North America,Central America,Red-winged Blackbird,blackbird,phenology,birds","This data package contains Red-winged Blackbird migration data consisting of 9,352 total observational reports from 1999 - 2020 across North and Central America. These data were collected by 4,647 community scientists for Journey North, a crowdsourced participatory science program of the University of Wisconsin-Madison Arboretum. The Journey North Red-winged Blackbird Project is an ongoing study of Red-winged Blackbird phenology conducted at broad spatial and temporal scales. Since 1999, community scientists have tracked first arrival dates and breeding and feeding behavior as well as the onset of fall migration and presence of Red-winged blackbird species throughout the winter months in the United States. The focal species is the Red-winged Blackbird (Agelaius phoeniceus). Observers also provide estimates of the number of birds sighted. However, observers do not follow standardized methods for counting species observed. Observers do not observe at set times of the day, do not repeat observations regularly, and are not required to provide the length of time during which a specified number of species observed were counted. Therefore, it is recommended that this dataset be analyzed to indicate presence not abundance. Researchers are encouraged to read the rich information provided by volunteers in their comments. These comments provide qualitative information about observational reports. Researchers are also encouraged to refer to submitted photographs that also provide context for observational reports. The Journey North Red-winged Blackbird Project dataset is hosted by the University of Wisconsin-Madison Shared Web Hosting Service."
"edi.1169","Journey North - American Robin observations by volunteer community scientists across Central and North America (1996-2020)","participatory science,citizen science,wildlife migration,North America,Central America,American Robin,robin,phenology,birds","This data package contains American Robin migration data consisting of 39,260 total observational reports from 1996 - 2020 across North and Central America. These data were collected by 17,619 community scientists for Journey North, a crowdsourced participatory science program of the University of Wisconsin-Madison Arboretum. The Journey North American Robin Project is an ongoing study of American Robin phenology conducted at broad spatial and temporal scales. Since 1996, community scientists have tracked first arrival dates and breeding and feeding behavior as well as the onset of fall migration and presence of American Robin species throughout the winter months in the United States. The focal species is the American Robin (Turdus migratorius). Observers also provide estimates of the number of birds sighted. However, observers do not follow standardized methods for counting species observed. Observers do not observe at set times of the day, do not repeat observations regularly, and are not required to provide the length of time during which a specified number of species observed were counted. Therefore, it is recommended that this dataset be analyzed to indicate presence not abundance. Researchers are encouraged to read the rich information provided by volunteers in their comments. These comments provide qualitative information about observational reports. Researchers are also encouraged to refer to submitted photographs that also provide context for observational reports. The Journey North American Robin Project dataset is hosted by the University of Wisconsin-Madison Shared Web Hosting Service."
"edi.117","Data describing how four different levels of induced plant defenses change cannibalism among larval lepidopterans and alter consumption of plant tissue by larval lepidopterans.","plant induced defense,cannibalism,tomato,beet armyworm,Solanum lycopersicum,Spodoptera exigua,plant-herbivore interactions,herbivory,omnivory,plant,insect","
  A dataset comprised of three experiments:

  Experiment 1. Data describing how four different levels of induced
  plant defenses change cannibalism among larval lepidopterans and alter
  consumption of plant tissue by larval lepidopterans. The experiment
  was conducted at UW-Madison in Birge Hall.

  Experiment 2. Data describing how two levels of induced plant defenses
  and two levels of food provision (presence or absence of dead
  conspecifics) changes cannibalism, herbivory, and growth among larval
  lepidopterans.

  Experiment 3. Data describing mass loss of tomato leaves that were
  clipped and allowed to dry for two days. These data are to determine
  estimates of natural (autogenic) weight loss due to evaporation for
  comparison of weight loss due to herbivory and evaporation as part of
  feeding trials with armyworms (see other two associated datasets in
  this series). The experiment was conducted at the Department of
  Biology at Virginia Commonwealth University.
"
"edi.1170","Journey North - Barn Swallow observations by volunteer community scientists across Central and North America (2000-2020)","participatory science,citizen science,wildlife migration,North America,Central America,Barn Swallow,swallow,phenology,birds","This data package contains Barn Swallow migration data consisting of 3,836 total observational reports from 2000 - 2020 across North America and Central America. These data were  collected by 1,320 community scientists for Journey North, a crowdsourced participatory science program of the University of Wisconsin-Madison Arboretum. The Journey North Barn Swallow Project is an ongoing study of Barn Swallow phenology conducted at broad spatial and temporal scales. Since 2000, community scientists have tracked first arrival dates of Barn Swallows (Hirundo rustica) in the United States. Observers also provide estimates of the number of birds sighted. However, observers do not follow standardized methods for counting species observed. Observers do not observe at set times of the day, do not repeat observations regularly, and are not required to provide the length of time during which a specified number of species observed were counted. Therefore, it is recommended that this dataset be analyzed to indicate presence not abundance. Researchers are encouraged to read the rich information provided by volunteers in their comments. These comments provide qualitative information about observational reports. Researchers are also encouraged to refer to submitted photographs that also provide context for observational reports. The Journey North Barn Swallow Project dataset is hosted by the University of Wisconsin-Madison Shared Web Hosting Service."
"edi.1171","Journey North - Tulip observations by volunteer community scientists across North America (1996-2020)

","participatory science,citizen science,North America,tulip,botany,Tulipa,phenology,flowers,plants,flowering,plant growth,plant phenology","This data package contains tulip phenology data consisting of 21,148 total observational reports from 1996 - 2020 across North America. These data were collected by 6,645 community scientists for Journey North, a crowdsourced participatory science program of the University of Wisconsin-Madison Arboretum. The Journey North Tulip Test Garden Project is an ongoing study of tulip phenology conducted at broad spatial and temporal scales. Since 1996, community scientists have tracked planting, emergence, and blooming of tulips (Tulipa L.) in the United States. Most observations should be of the  Red Emperor Tulip, but not all observations can be validated as this species. Researchers are encouraged to read observer comments to confirm tulip species. Observers also provide estimates of the number of tulips sighted. However, observers do not follow standardized methods for counting species observed. Observers do not observe at set times of the day, do not repeat observations regularly, and are not required to provide the length of time during which a specified number of species observed were counted. Therefore, it is recommended that this dataset be analyzed to indicate broad phenological information. Researchers are encouraged to read the rich information provided by volunteers in their comments. These comments provide qualitative information about observational reports. Researchers are also encouraged to refer to submitted photographs that also provide context for observational reports. The Journey North Tulip Test Garden Project dataset is hosted by the University of Wisconsin-Madison Shared Web Hosting Service."
"edi.1172","Journey North - Common Loon and Ice-Out observations by volunteer community scientists across North America (1997-2020)","citizen science,participatory science,wildlife migration,North America,loon,ice melt,Common Loon,phenology,birds,ice,albedo","This data package contains Common Loon migration and ice melt data consisting of 9,800 total observational reports from 1997 - 2020 across North America. These data were collected by 1,437 community scientists for Journey North, a crowdsourced participatory science program of the University of Wisconsin-Madison Arboretum. The Journey North Loon and Ice-Out Project is an ongoing study of loon and ice melt phenology conducted at broad spatial and temporal scales. Since 1997, community scientists have tracked first arrival dates of Common Loons (Gavia immer) and ice that has melted from bodies of water in the United States. Observers also provide estimates of the number of birds sighted. However, observers do not follow standardized methods for counting species observed. Observers do not observe at set times of the day, do not repeat observations regularly, and are not required to provide the length of time during which a specified number of species observed were counted. Therefore, it is recommended that this dataset be analyzed to indicate presence not abundance. Researchers are encouraged to read the rich information provided by volunteers in their comments. These comments provide qualitative information about observational reports. Researchers are also encouraged to refer to submitted photographs that also provide context for observational reports. The Journey North Common Loon and Ice-Out Project Project dataset is hosted by the University of Wisconsin-Madison Shared Web Hosting Service."
"edi.1175","Data and code for EDI overview paper, data collection characteristics, FAIR evaluation, downloads, and citations","metadata,FAIR data,EDI data holdings,data reuse,open science","The Environmental Data Initiative (EDI) is a trustworthy, stable data repository and data management support organization for the environmental scientist. EDI provides tools and support that allow the environmental researcher to easily integrate data publishing into the research workflow. Almost ten years since going into production, these data and code were used to provide a general description of EDI’s collection of data and its data management philosophy and placement in the repository landscape. They show how comprehensive metadata and the repository infrastructure lead to highly findable, accessible, interoperable, and reusable (FAIR) data by evaluating compliance with specific community proposed FAIR criteria. Finally, they provide measures and patterns of data (re)use, assuring that EDI is fulfilling its stated premise."
"edi.1190","Patch-burn grazing impacts forage resources in subtropical humid grazinglands","cattle,forage nutritive value,forage quantity,LTAR,pyric herbivory,agroecology,Archbold Biological Station,Buck Island Ranch,fires","Subtropical humid grazing lands represent a large global land use and are important for livestock production, as well as supplying multiple ecosystem services. Patch-burn grazing (PBG) management is applied in temperate grazing lands to enhance environmental and economic sustainability; however, this management system has not been widely tested in subtropical humid grazing lands. The objective of this study was to determine how PBG affected forage resources, in comparison with the business-as usual full-burn (FB) management in both intensively managed pastures (IMP) and seminative (SN) pastures in subtropical humid grazing lands. We hypothesized that PBG management would create patch contrasts in forage quantity and nutritive value in both IMP and SN pastures, with a greater effect in SN pastures. A randomized block design experiment was established in 2017 with 16 pastures (16 ha each), 8 each in IMP and SN at Archbold Biological Station’s Buck Island Ranch in Florida.
PBG management employed on IMP and SN resulted in creation of patch contrast in forage nutritive value and biomass metrics, and recent fire increased forage nutritive value. Residual standing biomass was significantly lower in burned patches of each year, creating heterogeneity within both pasture types under PBG. PBG increased digestible forage production in SN but not IMP pastures. These results suggest that PBG may be a useful management tool for enhancing forage nutritive value and creating patch contrast in both SN and IMP, but PBG does not necessarily increase production relative to FB management.
The annual increase in tissue quality and digestible forage production in a PBG system as opposed to once every 3 yr in an FB system is an important consideration for ranchers. Economic impacts of PBG and FB management in the two different pasture types are discussed, and we compare and contrast results from subtropical humid grazing lands with continental temperate grazing lands."
"edi.1199","Florida Longleaf Pine Surveys of Density and Growth Rates","Longleaf pine,dendrochronology,biodiversity,ecology,biology,biogeography,growth","The longleaf pine (Pinus palustris) ecosystem is an endangered global biodiversity hotspot that is a major focus of conservation and restoration efforts. However, most studies of longleaf habitats have not considered their distinct diversity, structure, and function among different communities, which are critical for developing appropriate management strategies. Florida has 51% of the remaining habitat, where it occurs in 5 unique community types. This dataset was collected from 82 plots (160 m2 each) in 23 sites across all 5 community types. We used modified variable area transects to collect data on tree density and growth rates. Tree rings were measured to the nearest 0.001 mm in CooRecorder and crossdated visually and statistically verified in COFECHA. Data was collected by N.Z. in 2018 while in graduate school at Florida State University."
"edi.1222","Data in support of Primack et al. 2022 Frontiers in Ecology & Environment: Historically excluded groups in ecology are undervalued and poorly treated"," Historically excluded group, Identity,Mistreatment,Mentorship,Reporting,Survey,Workplace environment","Hostile workplaces undermine efforts to make the ecological sciences more inclusive and welcoming. A survey sent to the Ecological Society of America membership and ECOLOG-L listserv subscribers provides a snapshot of a range of workplace experiences in ecology. The results of this survey are published as Primack et al. 2022. Historically excluded groups in ecology are undervalued and poorly treated. Frontiers in Ecology and the Environment.  This dataset includes the survey results and code for data analysis."
"edi.1225","California Blue Oak reproduction and recruitment, Sierra Foothills, 2005-2010","recruitment,reproduction,regeneration,grazing,precipitation,growth,survival,light availability,seedling,sapling,acorn,moisture availability","This data archive contributes to the study of blue oak conservation by quantifying reproductive success (numbers of new seedlings and their sizes) and survival and growth of the younger life stages (seedlings and saplings), and by exploring how the timing of grazing, topographical variables, and rainfall limit reproduction, growth, and survival for these life stages, helping to identify potential management and restoration strategies to enhance the population viability of blue oak. We followed a population of blue oak (Quercus douglasii) seedlings and saplings in the Sierra Nevada foothills, measuring adult seed production and initial seedling recruitment (number and size of new seedlings), seedling growth and survival, seedling recruitment to saplings (growing greater than 10 cm in height), and sapling growth and survival. We tested the impacts on these demographic processes of timing and intensity of grazing, light availability, water availability, and individual size. We published our analysis of these data as part of the 8th Oak Woodland Symposium. This data archive contains the underlying data for our analysis plus some data we did not include in our analysis (residual dry matter, photosynthetically active radiation, percent exotic/native cover), including raw data and R and Perl scripts used to format them for analysis, and additional information not included in the conference proceedings."
"edi.1263","Measurements of ethylene production (using the acetylene reduction assay) as a proxy for nitrogen fixation of epiphytes on seagrass in West Falmouth Harbor during July from 2005 through 2019.","WFH LTREB,acetylene reduction,ethylene production,WFH_LTREB_Cornell,nitrogen,nitrogen fixation","West Falmouth Harbor (West Falmouth, MA, USA) has been experiencing a dramatic increase in nitrogen loading from an upgradient municipal wastewater treatment facility since the early 2000’s. As part of a long-term study into the effects of this nitrogen enrichment, we have measured nitrogen fixation rates of seagrass-associated epiphytes using the acetylene reduction technique. Samples were taken annually in July at two sites, one in the well-flushed outer basin (OH) and one in the inner basin closer to the dominant groundwater N source (Snug Harbor, SH). Additional data are presented in 2019 at 18 sites spatially distributed through the seagrass bed to assess spatial heterogeneity. Individual replicate data are presented. These data are in support of a manuscript submitted to the journal Biogeochemistry by Marino et al, submitted for publication (12/2022)."
"edi.1264","Hourly water chemistry measurements at the mouth of West Falmouth Harbor from 2005 to 2019","WFH_LTREB_Cornell,WFH LTREB,Nutrient flux,nitrogen,phosphorus,carbon","West Falmouth Harbor (West Falmouth, MA, USA) has been experiencing a dramatic increase in nitrogen loading from an upgradient municipal wastewater treatment facility since the early 2000’s. As part of a long-term study into the effects of this nitrogen enrichment, we have been measuring water chemistry at the mouth of the harbor to calculate exchange between the harbor and adjacent coastal waters of Buzzards Bay. Water samples were taken hourly over 24- to 48-hour periods during several periods in 2005-2009, 2014, 2017, and 2019. Data from 2005-2009 were collected year-round; samples from 2014 and later were collected during June through August.  Samples were processed for ammonium, phosphate, nitrate + nitrite, total nitrogen, and total phosphorus. During some sampling years, additional samples were run for silicate, chlorophyll, total dissolved nitrogen, total dissolved phosphorus, dissolved organic carbon, particulate organic carbon, and particulate organic nitrogen. Salinity is reported for all samples. Samples were collected with an ISCO autosampler and stored on ice until analysis. Full analysis details and quality control methods are available in Hayn et al. 2014 (doi: 10.1007/s12237-013-9699-8)."
"edi.1266","Porewater sulfide, sediment sulfur, and organic matter data in West Falmouth Harbor, 2017-2019","sulfide,organic matter,sulfur,seagrass,organic carbon,WFH_LTREB_Cornell,WFH LTREB,sulfate to chloride ratio,sediment biogeochemistry","West Falmouth Harbor (West Falmouth, MA, USA) has been experiencing a dramatic increase in nitrogen loading from an upgradient municipal wastewater treatment facility since the early 2000’s. As part of a long-term study into the effects of this nitrogen enrichment, each summer in 2017-2019 we sampled sediment and porewater to assess the relationship between belowground sulfur and carbon pools and seagrass health. This dataset contains information on porewater sulfide, porewater sulfate to chloride molar ratios, sediment organic matter, and sediment total sulfur from sites across three basins of West Falmouth Harbor that receive varying inputs of nitrogen. The data supports findings reported in Haviland et al., 2022 (https://doi.org/10.1002/lno.12025)."
