"packageid","title","abstract","new_keywords"
"knb-lter-arc.10019","Soil and canopy temperature data from the Arctic LTER Moist Acidic Tussock Experimental plots for 2006, Toolik Filed Station, North Slope, Alaska.","Soil and canopy temperature data from the LTER Moist Acidic Tussock Experimental plots. In 1989 a treatment plots were established in a moist acidic tundra. Treatments include nitrogen and phosphorus addition, warming with a simple greenhouse, warming with nitrogen and phosphorus addition, shading with shade cloth and shading with nitrogen and phosphorus. In 1990 data logger was installed in block 2 to measure soil temperatures and basic meteorological data. The plots are located on a hillside near Toolik Lake (68 38&#039; N, 149 36&#039;W). Sensors were placed in control, fertilized, greenhouse, greenhouse fertilized, shade house and shade house fertilized sites.","biogeochemistry, meteorology, soil science, device, experiment, community, plant part, manipulation process, landform, layer, nitrogen cycle, phosphorus cycle, temperature, weather, soil temperature, sensor, greenhouse, canopy, wood, fertilization, warming, hillslope, canopy, nitrogen, phosphorus"
"knb-lter-arc.10020","Growth data was collected on one deciduous shrub species on Arctic LTER experimental plots in moist acidic tussock and dry heath tundra 2004, Toolik Field Station, Alaska.","Weekly growth of plant species of three growth forms were measured in the ninth year of a long-term experiment at Toolik Field Station. The experimental treatments excluded small and large mammalian herbivores and increased soil nutrients in two arctic Alaskan tundra communities: moist acidic tussock and dry heath. This data set reports the deciduous dwarf shrub species. Please see 2004lggrgram for the tussock-forming and rhizomatous graminoid species growth data.","biogeochemistry, ecology, ecosphere event, community, animal, plant, biological process, community process, environmental process, manipulation process, nutrient, biodiversity, disturbance, herbivore, vertebrate, vascular plant, growth, production, herbivory, disturbance, fertilization, community dynamics, mammal, shrub, primary production"
"knb-lter-arc.10021","Growth data was collected on four graminoid species on Arctic LTER experimental plots in moist acidic tussock and dry heath tundra 2004, Toolik Field Station, Alaska.","Weekly growth of plant species of three growth forms were measured in the ninth year of a long-term experiment at Toolik Field Station. The experimental treatments excluded small and large mammalian herbivores and increased soil nutrients in two arctic Alaskan tundra communities: moist acidic tussock and dry heath. This data set reports the four graminoid (both tussock and rhizomatous forms) species. Please see 2004lggrbnan for Betula nana (dwarf shrub) growth data.","biogeochemistry, ecology, ecosphere event, community, animal, plant, biological process, community process, environmental process, manipulation process, nutrient, biodiversity, disturbance, herbivore, vertebrate, vascular plant, growth, herbivory, disturbance, fertilization, community dynamics, mammal, shrub"
"knb-lter-arc.10022","Hourly weather data from Toolik Field Station, ARC LTER, Alaska for 2008.","Hourly weather data from the Arctic Tundra LTER site at Toolik Lake. The following parameters are measured every minute and averaged or totaled every hour: air temperature and relative humidity at 1 and 5 meters, wind speed at 1 and 5 meters, wind direction at 5 meters, global solar radiation, photosynthetically active radiation, barometric pressure, and unfrozen precipitation.","meteorology, hydrologic process, air, temperature, precipitation, radiation, relative humidity, weather, wind, precipitation, air, air temperature, photosynthetically active radiation, wind speed"
"knb-lter-arc.10023","Daily weather summaries from Toolik Field Station Weather Station, Toolik Lake ARC LTER, Alaska for 2008.","Daily weather summaries from Toolik Field Station Meteorological Station, Toolik Lake, Alaska. Included are daily averages and/or maximums and minimums of air, soil and lake temperature, wind speed, vapor pressure, and sum of global radiation and precipitation recorded near Toolik Lake.","meteorology, aquatic, hydrologic process, air, precipitation, radiation, temperature, weather, wind, freshwater, lake, precipitation, air, wind speed"
"knb-lter-arc.10024","Soil temperatures, lake temperature, lake depth, and evaporation pan depth and pan water temperature data from Toolik Field Station, Toolik Lake, Alaska for 2008.","Weather data file for Arctic Tundra LTER site at Toolik Lake. Only the sensors that are measured every 10 minutes and averaged every three hours are include, i.e. soil temperatures, lake temperature, lake depth, and evaporation pan depth and pan water temperature.","ecology, hydrology, meteorology, soil science, aquatic, device, aquatic ecology, evaporation, temperature, weather, soil temperature, freshwater, lake, sensor"
"knb-lter-arc.10025","Above ground plant and below ground stem biomass in the Arctic LTER dry heath tundra experimental plots, 2006, Toolik Lake, Alaska","Above ground plant and below ground stem biomass, percent nitrogen, and percent carbon were measured in the Arctic LTER dry heath tundra experimental plots. Treatments included control, and nitrogen and phosphorus amended plots for 10 years, and exclosure plots with and without added nitrogen and phosphorus.","biogeochemistry, ecosphere event, experiment, plant part, biological process, environmental process, carbon, nitrogen cycle, inorganic matter, nutrient, organic matter, phosphorus cycle, disturbance, field manipulation, stem, production, disturbance, nitrogen, inorganic nutrient, phosphorus, exclosure, primary production"
"knb-lter-arc.10026","Above ground plant and below ground stem biomass in the Arctic LTER moist acidic tussock tundra experimental plots, 2006, Toolik Lake, Alaska","Above ground plant and below ground stem biomass, percent nitrogen, and percent carbon were measured in the Arctic LTER moist acidic tundra experimental plots. Treatments included control, and nitrogen and phosphorus amended plots for 10 years, and exclosure plots with and without added nitrogen and phosphorus.","biogeochemistry, ecosphere event, experiment, plant part, biological process, environmental process, carbon, nitrogen cycle, inorganic matter, nutrient, organic matter, phosphorus cycle, disturbance, field manipulation, stem, production, disturbance, nitrogen, inorganic nutrient, phosphorus, exclosure, primary production"
"knb-lter-arc.10029","Arctic LTER 2007: Relative percent cover was measured for plant species on Arctic LTER experimental plots in moist acidic tussock and dry heath tundra.","Relative percent cover was measured for plant species on Arctic LTER experimental plots at Toolik field station in moist acidic tussock and dry heath tundra.","ecology, ecosphere event, environmental process, biodiversity, disturbance, disturbance, abundance, plant cover"
"knb-lter-arc.10052","Bulk concentration and isotopic information of plant C and N in green leaves and tissues collected from Imnavait watershed during 2003-2005","Changes in total C and N, d13C and d15N, C:N ratio in green leaves and parts of mosses (for sphagnum, both red and green tips were included) over time since 15NH4 addition in Imnavait watershed.","biogeochemistry, plant, plant part, biological process, landform, carbon, isotope, nitrogen cycle, inorganic matter, nutrient, organic matter, moss, leaf, production, watershed, ammonium, nitrogen, inorganic nutrient, primary production"
"knb-lter-arc.10063","Bacterial Production Data for lakes and lake inlets/outlets samples collected summer 2008, Arctic LTER, Toolik Research Station, Alaska.","Yearly file containing information on bacterial productivity. Samples were collected at various sites near Toolik Research Station (68 38'N, 149 36'W). Sample site descriptors include an assigned number (sortchem), site, date, time and depth.","biogeochemistry, ecology, aquatic, microbe, biological process, carbon, biodiversity, freshwater, lake, stream, bacteria, production, community dynamics, bactereial production"
"knb-lter-arc.10064","Bacterial Production Data for lakes and lake inlets/outlets samples collected summer 2007, Arctic LTER, Toolik Research Station, Alaska.","Yearly file containing information on bacterial productivity. Samples were collected at various sites near Toolik Research Station (68 38'N, 149 36'W). Sample site descriptors include an assigned number (sortchem), site, date, time and depth.","biogeochemistry, ecology, aquatic, microbe, biological process, carbon, biodiversity, freshwater, lake, stream, bacteria, production, community dynamics, bactereial production"
"knb-lter-arc.10065","Bacterial Production Data for lakes and lake inlets/outlets samples collected summer 2009, Arctic LTER, Toolik Research Station, Alaska.","Yearly file containing information on bacterial productivity. Samples were collected at various sites near Toolik Research Station (68 38'N, 149 36'W). Sample site descriptors include an assigned number (sortchem), site, date, time and depth.","biogeochemistry, ecology, aquatic, microbe, biological process, carbon, biodiversity, freshwater, lake, stream, bacteria, production, community dynamics, bactereial production"
"knb-lter-arc.10068","Toolik Inlet Discharge Data collected in summer 2008, Arctic LTER, Toolik Research Station, Alaska.","Stream discharge, stage height, temperature, and conductivity of Toolik Inlet during the 2008 study season.","biogeochemistry, ecology, hydrology, meteorology, aquatic, hydrologic process, conductivity, aquatic ecology, discharge, stage height, water level, temperature, freshwater, stream, discharge"
"knb-lter-arc.10069","Toolik Inlet Discharge Data collected in summer 2007, Arctic LTER, Toolik Research Station, Alaska.","Stream discharge, stage height, temperature, and conductivity of Toolik Inlet during the 2007 study season.","biogeochemistry, ecology, hydrology, meteorology, aquatic, hydrologic process, conductivity, aquatic ecology, discharge, stage height, water level, temperature, freshwater, stream, discharge"
"knb-lter-arc.10070","Toolik Inlet Discharge Data collected in summer 2009, Arctic LTER, Toolik Research Station, Alaska.","Stream discharge, stage height, temperature, and conductivity of Toolik Inlet during the 2009 study season.","biogeochemistry, ecology, hydrology, meteorology, aquatic, hydrologic process, conductivity, aquatic ecology, discharge, stage height, water level, temperature, freshwater, stream, discharge"
"knb-lter-arc.10083","Anaktuvuk River Burn Eddy Flux Measurements, 2008 Moderate Burn Site, North Slope Alaska","We deployed three eddy covariance towers along a burn severity gradient (i.e. severely-, moderately-, and un-burned tundra) to monitor post fire Net Ecosystem Exchange of CO2 (NEE) within the large 2007 Anaktuvuk River fire scar during the summer of 2008. This data represents the first post fire growing season&#039;s energy and mass exchange at the moderate burn site.","biogeochemistry, ecosphere event, device, environmental process, measurement process, air, landform, carbon, disturbance, fire, sensor, disturbance, eddy covariance, air, hillslope, eddy covariance"
"knb-lter-arc.10084","Anaktuvuk River Burn Eddy Flux Measurements, 2008 Unburned Site, North Slope Alaska","We deployed three eddy covariance towers along a burn severity gradient (i.e. severely-, moderately-, and un-burned tundra) to monitor post fire Net Ecosystem Exchange of CO2 (NEE) within the large 2007 Anaktuvuk River fire scar during the summer of 2008. This data represents the first post fire growing season's energy and mass exchange at the unburned site.","biogeochemistry, ecosphere event, device, environmental process, measurement process, air, landform, carbon, disturbance, fire, sensor, disturbance, eddy covariance, air, hillslope, eddy covariance"
"knb-lter-arc.10085","Anaktuvuk River Burn Eddy Flux Measurements, 2008 Severe Burn Site, North Slope Alaska","We deployed three eddy covariance towers along a burn severity gradient (i.e. severely-, moderately-, and un-burned tundra) to monitor post fire Net Ecosystem Exchange of CO2 (NEE) within the large 2007 Anaktuvuk River fire scar during the summer of 2008. This data represents the first post fire growing season's energy and mass exchange at the severe burn site.","biogeochemistry, ecosphere event, device, environmental process, measurement process, air, landform, carbon, disturbance, fire, sensor, disturbance, eddy covariance, air, hillslope, eddy covariance"
"knb-lter-arc.1009","Meteorological data collected on Toolik Lake during the ice free season since 1989 to 2009, Arctic LTER, Toolik Research Station, Alaska.","Yearly file describing the metological conditions on Toolik Lake (named the Toolik Lake Climate station), adjacent to the Toolik Field Research Station (68 38'N, 149 36'W). This is a floating climate station and should not be confused with the Toolik Field Station Climate site (TFS Climate Station or Met Station) which is a terrestrial station (located on land). Note that this land station has been called the ""Toolik Main Climate Station"", and the station on the lake is located where the main lake sampling site is located so it has also been called the Toolik Lake Main Climate Station. Measurements include air temperature, relative humidity, wind direction, wind speed, and radiation.","meteorology, aquatic, hydrologic process, air, temperature, radiation, relative humidity, wind, freshwater, lake, ice, air, air temperature, wind speed"
"knb-lter-arc.10090","Water chemistry data for various lakes near Toolik Research Station, Arctic LTER. Summer 2000 to 2009.","Decadal file describing the water chemistry in various lakes near Toolik Research Station (68 38'N, 149 36'W) during summers from 2000 to 2009. Chemical analyses were conducted on samples from various depths in the sample lakes either once, or multiple times during the spring, summer and fall months (May to September). Chemical analyses for the samples include alkalinity, dissolved organic and inorganic carbon (DIC/DOC), inorganic and total dissolved nutrients (NH4, PO4, NO3, TDN, TDP), particulate carbon, nitrogen and phsphorous (PC, PN, PP), cations (Ca, Mg, K, Na and Si) and anions (SO4, Cl). See methods for the yearly datsets which were combined into this data set.","biogeochemistry, aquatic, anion, carbon, cation, nitrogen cycle, inorganic matter, nutrient, phosphorus cycle, sulfur cycle, water biogeochemistry, freshwater, lake, ammonium, nitrate, nitrogen, inorganic nutrient, phosphorus, sulfate"
"knb-lter-arc.10093","Average Epilimnetic Conductivity from 1992 to present in Tooli Lake, Arctic LTER, Alaska.","Average conductivity of the epilimnion (0-3m of water depth) found in Toolik Lake during the month of July.","biogeochemistry, ecology, aquatic, water, conductivity, inorganic matter, nutrient, aquatic ecology, freshwater, lake, fresh water, inorganic nutrient, limnology"
"knb-lter-arc.10104","Soil ergosterol transect Dalton Highway Alaska 2007","The data set describes soil ergosterol concentration, which is unique to fungal membranes., from an Alaska transect . The soil samples from Alaska were collected in a trip from north to south along the Dalton Highway. north of the Yukon River.","field method, transect"
"knb-lter-arc.10105","Soil ergoserol concentration from Abisko Sweden 2007.","The data set describes soil ergosterol concentration, which is unique to fungal membranes., from samples from Abisko, Sweden. The samples from Abisko, Sweden, were collected by E.A. Hobbie at a birch forest site and a tundra site. The Abisko sites are described in www.abacus-ipy.org/fieldsites/abisko.html.","terrestrial, forest"
"knb-lter-arc.10106","Plant litter, soil, plants and fungal fruiting bodies 15N, 13C, percent C and N along Dalton Highway, Alaska 2004, 1990, 2007.","The data set includes 15N and 13C for plant litter, soil, plants and fungal fruiting bodies (mycorrhizae), percent C (soil organic matter and percent N from samples collected in three separate trips (1990, 2004, 2007) along the transect of the Dalton Highway (AK) extending from the Yukon River on the south to Prudhoe Bay on the north.","biogeochemistry, field method, fungus, plant part, nitrogen cycle, organic matter, transect, mycorrhizae, leaf, nitrogen, leaf litter"
"knb-lter-arc.10107","Welker Shrub Microclimate Data from an unmanipulated shrub patch near Toolik Field Station, August 6, 2006 to September 12, 2010","Hourly air temperature, humidity, wind speed, soil temperature and soil water data from an unmanipulated shrub patch measured from August 6, 2006 to September 12, 2010.","meteorology, soil science, plant, air, temperature, microclimate, wind, soil temperature, vascular plant, air, air temperature, wind speed, shrub"
"knb-lter-arc.10108","Welker Dry Heath Microclimate Data","Hourly air temperature, humidity, wind speed, soil temperature and soil water data from the control area of the ITEX dry heath study site","meteorology, soil science, experiment, air, temperature, microclimate, wind, soil temperature, field manipulation, air, air temperature, wind speed, snowfence"
"knb-lter-arc.10109","Welker ITEX Tussock Microclimate Data","Hourly air temperature, humidity, wind speed, soil temperature and soil water data from the control area of the ITEX tussock tundra snowfence study site","meteorology, soil science, experiment, air, temperature, microclimate, wind, soil moisture, soil temperature, field manipulation, air, air temperature, wind speed, snowfence"
"knb-lter-arc.10110","Welker IPY snow shrub 2007 flux data, Toolik, Alaska.","This is a study of how different snow regimes effect CO2 exchange in tussock tundra and whether there are shifts in ecosystem C cycling when facets of &quot;drift&quot; effects are isolated. The study is part of the IPY program and is aimed at measuring the state of Arctic tundra.","biogeochemistry, meteorology, ecosphere event, plant, biological process, environmental process, physiological process, water, carbon, snow, disturbance, vascular plant, production, disturbance, respiration, snow, shrub"
"knb-lter-arc.10111","Welker IPY snow shrub 2008 flux data, Toolik, Alaska.","This is a study of how different snow regimes effect CO2 exchange in tussock tundra and whether there are shifts in ecosystem C cycling when facets of &quot;drift&quot; effects are isolated. The study is part of the IPY program and is aimed at measuring the state of Arctic tundra.","biogeochemistry, meteorology, ecosphere event, plant, biological process, environmental process, physiological process, water, carbon, snow, disturbance, vascular plant, production, disturbance, respiration, snow, shrub"
"knb-lter-arc.10112","Welker IPY snow fence shrub site soil temperatures and soil water content Toolik, Alaska 2008.","Soil temperature from three locations on the eastern side of the Toolik River where by snow fences were established as part of IPY. This is a study of how soil temperatures at 10 cm and soil moisture change across the summer at our IPY snow fence site .","meteorology, soil science, experiment, plant, water, snow, temperature, soil moisture, soil temperature, field manipulation, vascular plant, snow, snow depth, snowfence, shrub"
"knb-lter-arc.10113","Welker IPY snow fence shrub site Betula leaf 15N, 13C, %N, %C, Toolik, Alaskanear Toolik Field Station 2007 and 2008.","Betula nana leaf mineral leaf 15N, 13C, %N, %C was measured over the summer seasons in 2007 and 2008 at our shrub site. Fresh fully expanded leaves were collected several times during the summer.","biogeochemistry, meteorology, experiment, plant, plant part, carbon, isotope, snow, field manipulation, vascular plant, leaf, snowfence, shrub"
"knb-lter-arc.10114","Sedimentation rate, concentration of macronutrients and flux for NE14, Toolik, Dimple, Perched during Summer 2009.","We measured the flux of bulk material and major macronutrients (carbon, nitrogen and phosphorus) from the water column to the benthos in four separate lakes during the summer of 2009. The lakes were chosen to investigate the impacts of disturbance on lake sedimentation. Two of the lakes, Dimple and Perched, were within catchments that were burned by the 2007 Anaktuvuk River wildfire. Two of the lakes, NE-14 and Perched, were receiving elevated sediment loads from thermokarst failures on their shorelines, and Toolik Lake was used as a reference lake. As such, the lakes were organized by disturbance regime: Dimple = fire only, Perched = fire + thermokarst, NE-14 = thermokarst only, and Toolik = undisturbed reference.","biogeochemistry, geomorphology, aquatic, ecosphere event, community, environmental process, geological process, water, layer?, landform, carbon, nitrogen cycle, inorganic matter, nutrient, organic matter, phosphorus cycle, sedimentation, benthos, freshwater, lake, disturbance, fire, benthos, disturbance, sedimentation, water column, benthos, watershed, nitrogen, inorganic nutrient, phosphorus"
"knb-lter-arc.10116","Anaktuvuk River fire scar canopy reflectance spectra from the 2008-2014 growing seasons, North Slope Alaska.","The Anaktuvuk River Fire occurred in 2007 on the North Slope of Alaska. In 2008, three eddy covariance towers were established at sites represent ing unburned tundra, moderately burned tundra, and severely burned tundra. During the 2008-2014 growing seasons, canopy vegetation within the footprint of each of these towers was scanned with a handheld spectrophotometer several times throughout the growing season. Average reflectance spectra per site and collection day are presented here.","ecology, meteorology, ecosphere event, device, community, community, community process, environmental process, measurement process, air, landform, layer, biodiversity, radiation, disturbance, fire, sensor, vegetation, canopy, vegetation, recovery, disturbance, eddy covariance, air, hillslope, canopy, plant cover, vegetation dynammics, eddy covariance"
"knb-lter-arc.10117","Anaktuvuk River Burn Eddy Flux Measurements, 2009 Unburned Site, North Slope Alaska","We deployed three eddy covariance towers along a burn severity gradient (i.e. severely-, moderately-, and un-burned tundra) to monitor post fire Net Ecosystem Exchange of CO2 (NEE) within the large 2007 Anaktuvuk River fire scar during the summer of 2008. This data represents the 2009 post fire energy and mass exchange at the unburned site.","biogeochemistry, ecosphere event, device, environmental process, measurement process, air, landform, carbon, disturbance, fire, sensor, disturbance, eddy covariance, air, hillslope, eddy covariance"
"knb-lter-arc.10118","Anaktuvuk River Burn Eddy Flux Measurements, 2009 Moderate Burn Site, North Slope Alaska","We deployed three eddy covariance towers along a burn severity gradient (i.e. severely-, moderately-, and un-burned tundra) to monitor post fire Net Ecosystem Exchange of CO2 (NEE) within the large 2007 Anaktuvuk River fire scar during the summer of 2008. This data represents the 2009 post fire energy and mass exchange at the moderate burn site.","biogeochemistry, ecosphere event, device, environmental process, measurement process, air, landform, carbon, disturbance, fire, sensor, disturbance, eddy covariance, air, hillslope, eddy covariance"
"knb-lter-arc.10119","Anaktuvuk River Burn Eddy Flux Measurements, 2009 Severe Burn Site, North Slope Alaska","We deployed three eddy covariance towers along a burn severity gradient (i.e. severely-, moderately-, and un-burned tundra) to monitor post fire Net Ecosystem Exchange of CO2 (NEE) within the large 2007 Anaktuvuk River fire scar during the summer of 2008. This data represents the 2009 post fire energy and mass exchange at the severe burn site.","biogeochemistry, ecosphere event, device, environmental process, measurement process, air, landform, carbon, disturbance, fire, sensor, disturbance, eddy covariance, air, hillslope, eddy covariance"
"knb-lter-arc.10120","Anaktuvuk River Burn Eddy Flux Measurements, 2010 Unburned Site, North Slope Alaska","We deployed three eddy covariance towers along a burn severity gradient (i.e. severely-, moderately-, and un-burned tundra) to monitor post fire Net Ecosystem Exchange of CO2 (NEE) within the large 2007 Anaktuvuk River fire scar during the summer of 2008. This data represents the 2010 post fire energy and mass exchange at the unburned site.","biogeochemistry, ecosphere event, device, environmental process, measurement process, air, landform, carbon, disturbance, fire, sensor, disturbance, eddy covariance, air, hillslope, eddy covariance"
"knb-lter-arc.10121","Anaktuvuk River Burn Eddy Flux Measurements, 2010 Moderate Burn Site, North Slope Alaska","We deployed three eddy covariance towers along a burn severity gradient (i.e. severely-, moderately-, and un-burned tundra) to monitor post fire Net Ecosystem Exchange of CO2 (NEE) within the large 2007 Anaktuvuk River fire scar during the summer of 2008. This data represents the 2010 post fire energy and mass exchange at the moderate burn site.","biogeochemistry, ecosphere event, device, environmental process, measurement process, air, landform, carbon, disturbance, fire, sensor, disturbance, eddy covariance, air, hillslope, eddy covariance"
"knb-lter-arc.10122","Anaktuvuk River Burn Eddy Flux Measurements, 2010 Severe Burn Site, North Slope Alaska","We deployed three eddy covariance towers along a burn severity gradient (i.e. severely-, moderately-, and un-burned tundra) to monitor post fire Net Ecosystem Exchange of CO2 (NEE) within the large 2007 Anaktuvuk River fire scar during the summer of 2008. This data represents the 2010 post fire energy and mass exchange at the severe burn site.","biogeochemistry, ecosphere event, device, environmental process, measurement process, air, landform, carbon, disturbance, fire, sensor, disturbance, eddy covariance, air, hillslope, eddy covariance"
"knb-lter-arc.10123","Anatuvuk River fire scar thaw depth measurements during the 2008 to 2014 growing season","The Anaktuvuk River Fire occurred in 2007 on the North Slope of Alaska. In 2008, three eddy covariance towers were established at sites represent ing unburned tundra, moderately burned tundra, and severely burned tundra. Several times during the 2008-2014 growing seasons, thaw depth was measured at approximately 70 points near each of these towers . Data presented here are the individual measurements for each site and date.","ecosphere event, device, environmental process, measurement process, air, landform, disturbance, fire, sensor, disturbance, eddy covariance, air, hillslope, permafrost, eddy covariance"
"knb-lter-arc.10124","Characterization of burned and unburned moist acidic tundra sites for estimating C and N loss from the 2007 Anaktuvuk River Fire, sampled in 2008.","Burned and unburned moist acidic tundra sites used to estimate C and N loss from the Anaktuvuk River Fire (2007). These sites were sampled in summer of 2008. Unburned sites were used to develop a method for estimating soil organic layer depth and plant biomass, and for determining the characteristics of unburned soil organic layers. In burned sites, we characterized residual organic soils and used biometric measurements of tussocks to reconstruct pre-fire soil organic layer depth. Together, these measurements were used to reconstruct pre-fire soil and plant carbon and nitrogen pools and estimate ecosystem losses of these elements during the fire.","biogeochemistry, ecosphere event, environmental process, layer, carbon, nitrogen cycle, disturbance, fire, disturbance, organic layer, nitrogen"
